accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.2544,-0.0519,-0.0408,0.0694,0.0246,-0.0301,0.0001,0.0003,0.0,0.1752,3.0,3
0.2534,0.0162,-0.0264,0.1178,0.1364,-0.0075,0.0004,0.0002,0.1867,0.1702,3.0,3
0.0835,0.0718,-0.0906,0.0803,0.2823,-0.0175,0.0001,0.0004,1.0,0.095,3.0,3
-0.1498,0.0316,-0.0718,0.0061,0.0016,-0.0444,0.0004,0.0003,1.0,0.1127,3.0,3
0.3045,0.0112,-0.1373,0.0124,-0.0403,-0.0483,0.0002,0.0566,1.0,0.2228,3.0,3
0.0726,0.0292,-0.0814,0.0405,-0.0523,-0.018,0.0004,0.0336,1.0,0.0753,3.0,3
0.1193,0.0541,-0.0792,-0.0087,-0.1326,-0.0219,0.0002,0.0005,1.0,0.1021,3.0,3
0.1803,0.0295,-0.0663,-0.027,-0.1457,-0.028,0.0003,0.0001,0.73,0.1295,3.0,3
0.2231,0.0233,-0.0707,-0.0193,-0.0874,-0.0397,0.0002,0.0001,0.0,0.1568,3.0,3
0.1911,0.0388,-0.0858,-0.0199,-0.0494,-0.0567,0.0002,0.0002,0.0,0.142,3.0,3
0.2119,0.0814,-0.0601,-0.043,-0.0774,-0.051,0.0002,0.0002,0.0,0.1565,3.0,3
0.2258,0.0333,-0.0375,-0.058,0.0117,-0.0046,0.0002,0.0002,0.0,0.1542,3.0,3
0.1732,-0.0083,-0.0627,0.0053,0.0023,-0.0014,0.0003,0.0001,0.0,0.1229,3.0,3
0.1772,0.032,-0.0557,0.0176,0.0009,-0.0001,0.0002,0.0002,0.0,0.1257,3.0,3
0.1761,0.0209,-0.066,0.0064,-0.0127,-0.0021,0.0002,0.0001,0.0,0.1262,3.0,3
0.2028,0.0016,-0.0708,-0.0038,-0.0074,-0.0103,0.0001,0.0002,0.0,0.1432,3.0,3
0.184,-0.0198,-0.0607,0.0146,0.0043,-0.0112,0.0003,0.0002,0.0,0.1299,3.0,3
0.1809,-0.0016,-0.0685,0.0286,-0.0051,-0.0159,0.0001,0.0003,0.0,0.1289,3.0,3
0.1911,0.0388,-0.0858,-0.0199,-0.0494,-0.0567,0.0002,0.0002,0.0,0.142,4.0,3
0.2119,0.0814,-0.0601,-0.043,-0.0774,-0.051,0.0002,0.0002,0.0,0.1565,4.0,3
