accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.0343,0.1076,-0.0008,0.0065,0.0041,-0.0101,0.0002,0.0003,0.0,0.0753,4.0,6
0.0646,0.1465,-0.0137,0.0317,-0.0411,0.0126,0.0004,0.0002,0.0,0.1072,4.0,6
0.0702,0.1384,-0.0368,0.0052,-0.0144,0.0173,0.0002,0.0003,0.0,0.1063,4.0,6
-0.0297,0.0949,-0.0289,0.0214,-0.041,0.0514,0.0003,0.0002,0.0,0.069,4.0,6
0.0584,0.1081,-0.0452,0.0142,-0.0599,0.0388,0.0003,0.0003,0.0,0.0873,4.0,6
0.1505,0.1133,-0.0009,0.0275,0.0012,0.0378,0.0002,0.0003,0.0,0.1256,4.0,6
0.0304,0.1347,-0.0297,0.0666,0.0325,0.0765,0.0004,0.0002,0.0,0.0942,4.0,6
0.3267,0.1873,-0.0206,0.0646,-0.0084,0.0739,0.0002,0.0003,0.0,0.2514,4.0,6
0.7606,0.1714,-0.1415,-0.0053,0.2574,0.0492,0.0004,0.0007,0.5167,0.5283,4.0,6
0.9332,0.1476,-0.2204,-0.1148,0.4124,0.0998,0.0001,0.0037,1.0,0.6468,4.0,6
0.7147,-0.006,-0.2217,-0.1851,0.4511,0.0665,0.0005,1.0,1.0,0.4989,4.0,6
0.5744,-0.1999,-0.061,-0.235,0.0916,0.0907,0.0002,1.0,1.0,0.4075,4.0,6
0.5104,-0.478,-0.3063,-0.178,0.129,-0.0496,0.0006,1.0,1.0,0.5089,4.0,6
-0.4673,-0.3582,-0.1813,-0.07,0.2804,-0.1342,0.0002,1.0,1.0,0.4107,4.0,6
-0.9963,-0.2423,-0.2252,-0.0334,0.2218,-0.245,0.0006,1.0,1.0,0.6999,4.0,6
-1.0,-0.0435,-0.2968,0.009,0.2743,-0.4364,0.0002,1.0,1.0,0.696,4.0,6
-1.0,0.3649,-0.0956,0.0422,0.157,-0.2376,0.0007,1.0,1.0,0.7125,4.0,6
-0.4777,0.2691,-0.126,-0.1367,-0.0066,-0.0513,0.0002,1.0,1.0,0.375,4.0,6
-0.3384,-0.0445,-0.1006,-0.1601,-0.0431,0.115,0.0007,1.0,1.0,0.2372,4.0,6
-0.3735,-0.3328,-0.0684,-0.1323,-0.133,0.1369,0.0001,1.0,1.0,0.3366,4.0,6
-0.3684,-0.3404,-0.1005,0.001,-0.237,0.13,0.0005,1.0,1.0,0.341,4.0,6
-0.1599,-0.1716,-0.1205,0.0484,-0.177,0.0993,0.0,1.0,1.0,0.1758,4.0,6
-0.3111,-0.1249,0.0057,0.0356,-0.1552,0.1317,0.0006,1.0,1.0,0.2236,4.0,6
-0.4238,-0.1204,0.0832,0.1058,-0.2568,0.1031,0.0,1.0,0.2867,0.2989,4.0,6
-0.3369,-0.0286,0.0563,0.1577,-0.3466,0.0088,0.0006,0.7225,0.0,0.2285,4.0,6
0.1671,0.0687,-0.0088,-0.002,0.0349,0.0003,0.0002,0.0004,0.0,0.1206,5.0,6
0.1063,0.0715,0.0075,-0.0129,-0.0077,-0.0189,0.0004,0.0003,0.0,0.0856,5.0,6
0.064,0.0919,0.0065,0.0157,-0.0325,-0.001,0.0001,0.0004,0.0,0.0748,5.0,6
0.0414,0.0793,-0.0289,0.0246,-0.0493,0.0016,0.0005,0.0002,0.0,0.0627,5.0,6
0.0056,0.0993,-0.0318,0.0318,-0.0503,0.0238,0.0,0.0004,0.0,0.0696,5.0,6
0.04,0.0659,-0.0604,0.0033,-0.0521,0.0338,0.0005,0.0002,0.0,0.0653,5.0,6
0.0621,0.0407,-0.0574,0.0144,-0.0086,0.0148,0.0,0.0004,0.0,0.0626,5.0,6
-0.0044,0.0811,-0.0441,0.0169,-0.0412,0.0344,0.0005,0.0001,0.0,0.0616,5.0,6
0.1177,0.0297,-0.0932,-0.0067,-0.0404,0.0343,0.0,0.0005,0.0,0.102,5.0,6
0.1176,0.0501,-0.07,0.0185,0.0328,0.015,0.0006,0.0002,0.0,0.0971,5.0,6
0.0479,0.0998,-0.0258,0.0234,-0.0113,0.0317,0.0,0.0003,0.0,0.0758,5.0,6
0.1906,0.1014,-0.0488,0.0261,-0.0241,0.0543,0.0006,0.0001,0.0,0.1475,5.0,6
0.2859,0.1219,-0.1027,0.0282,-0.0022,0.0393,0.0,0.0004,0.0,0.2182,5.0,6
0.6271,0.1619,-0.1577,-0.009,0.0391,-0.0091,0.0006,0.0002,0.0,0.4444,5.0,6
0.8442,0.1509,-0.1481,-0.0986,0.1477,0.068,0.0,0.7941,0.0,0.5802,5.0,6
0.9862,0.1021,-0.2192,-0.104,0.4221,0.0836,0.0006,0.7003,1.0,0.6769,5.0,6
0.4606,0.0197,-0.2961,-0.1544,0.4268,0.1594,0.0,1.0,1.0,0.3653,5.0,6
-0.0078,-0.101,-0.2122,-0.2664,0.0845,-0.0482,0.0006,1.0,1.0,0.1568,5.0,6
-0.2217,-0.2053,-0.1296,-0.1753,0.2897,0.0137,0.0001,1.0,1.0,0.2192,5.0,6
-0.6717,-0.1898,-0.1415,-0.1089,0.4196,-0.2938,0.0006,1.0,1.0,0.4748,5.0,6
-1.0,-0.0681,0.0601,0.0222,0.1633,-0.2048,0.0002,1.0,1.0,0.6694,5.0,6
-0.8439,0.2242,-0.0305,0.1442,0.1468,-0.1733,0.0006,1.0,1.0,0.5824,5.0,6
-0.6355,0.5162,-0.106,-0.0608,0.0168,-0.0049,0.0002,1.0,1.0,0.5504,5.0,6
-0.4457,-0.08,-0.0879,-0.2569,-0.0947,0.1331,0.0006,1.0,1.0,0.3075,5.0,6
-0.1829,-0.5115,-0.0832,-0.1249,-0.0732,0.1095,0.0002,1.0,1.0,0.3664,5.0,6
-0.2908,-0.3884,-0.0457,0.0243,-0.0732,0.0474,0.0006,1.0,1.0,0.3249,5.0,6
-0.3673,-0.2322,-0.0732,0.085,-0.1699,0.0508,0.0002,1.0,1.0,0.2938,5.0,6
-0.4729,-0.1237,-0.0034,0.1412,-0.2694,0.1459,0.0005,1.0,1.0,0.3259,5.0,6
-0.5298,-0.0472,-0.0213,0.1909,-0.3926,0.1689,0.0,1.0,0.5667,0.3549,5.0,6
-0.3867,0.0195,-0.1248,0.1445,-0.4389,0.0366,0.0005,0.7658,0.0,0.2712,5.0,6
