gesture_id,timestep,label,name,ax,ay,az,gx,gy,gz,f1,f2,f3,mag,exp_logit_0,exp_logit_1,exp_logit_2,exp_logit_3,exp_logit_4,exp_logit_5,exp_logit_6,exp_logit_7,exp_logit_8
1,5,8,crane_wing,0.0177,-0.0084,0.0028,-0.0249,0.0189,0.0166,0.0,0.0008,0.0,0.0198,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,6,8,crane_wing,0.0646,0.0275,0.078,-0.0541,0.0346,0.0143,0.0,0.0008,0.0,0.1049,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,7,8,crane_wing,-0.0018,0.0536,0.422,-0.1568,0.077,-0.0277,0.0,0.001,0.0,0.4254,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,8,8,crane_wing,-0.4201,0.0614,0.3416,-0.2025,-0.2925,-0.0067,0.0,0.0007,0.0,0.545,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,9,8,crane_wing,-0.261,-0.0791,0.2733,0.0029,-0.857,0.0767,0.0,0.0009,0.0,0.3861,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,10,8,crane_wing,-0.0804,-0.0725,-0.0225,0.1019,-0.9555,0.0945,0.0,0.0008,0.0,0.1106,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,11,8,crane_wing,-0.2183,-0.1789,-0.2531,0.1923,-0.9969,0.0699,0.0,0.0008,0.0,0.3791,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,12,8,crane_wing,-0.0755,-0.1421,-0.6769,0.325,-0.9969,0.0934,0.0,0.0008,0.0,0.6957,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,13,8,crane_wing,0.192,-0.1494,-1.0,0.3697,-0.8896,0.1703,0.0,0.0007,0.0,1.0,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,14,8,crane_wing,0.2148,-0.0592,-0.8839,0.142,-0.4449,0.0939,0.0,0.0009,0.0,0.9115,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,15,8,crane_wing,0.1602,-0.0824,-0.6129,0.0264,-0.1745,0.0308,0.0,0.0007,0.0,0.6388,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,16,8,crane_wing,0.2252,-0.0023,-0.3689,-0.0369,0.0487,0.0436,0.0,0.0009,0.0,0.4322,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,17,8,crane_wing,0.1528,-0.0095,-0.1356,-0.0842,0.1858,0.0169,0.0,0.0007,0.0,0.2045,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,18,8,crane_wing,0.1602,0.0262,-0.0095,-0.0686,0.2191,-0.0076,0.0,0.0008,0.0,0.1626,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
1,19,8,crane_wing,0.1949,0.0728,0.0877,-0.0765,0.26,-0.0099,0.0,0.0009,0.0,0.2258,-19.158983,-197.668503,-132.752441,-190.068146,-49.364914,-105.980362,-128.867264,-18.456453,8.764596
2,0,8,crane_wing,0.0013,0.006,0.0004,-0.0249,0.0065,0.0147,0.0,0.001,0.0,0.0062,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
